iter	Passed	Remaining
0	132	13086
1	133	6548
2	134	4364
3	136	3269
4	137	2617
5	139	2179
6	141	1880
7	143	1647
8	145	1471
9	151	1366
10	154	1247
11	157	1153
12	159	1064
13	160	986
14	161	917
15	163	856
16	164	804
17	166	757
18	167	715
19	169	676
20	170	642
21	173	614
22	176	589
23	177	561
24	178	535
25	179	511
26	181	489
27	182	468
28	183	449
29	185	432
30	187	416
31	188	400
32	189	384
33	190	370
34	192	356
35	193	343
36	194	331
37	195	319
38	196	307
39	198	297
40	199	286
41	199	275
42	201	266
43	202	257
44	204	250
45	205	241
46	207	233
47	208	225
48	209	218
49	211	211
50	212	204
51	213	197
52	214	190
53	215	183
54	216	177
55	217	171
56	219	165
57	220	159
58	221	154
59	222	148
60	224	143
61	225	138
62	226	133
63	228	128
64	229	123
65	231	119
66	233	115
67	234	110
68	236	106
69	237	101
70	239	97
71	240	93
72	242	89
73	243	85
74	245	81
75	246	77
76	247	74
77	249	70
78	250	66
79	252	63
80	253	59
81	254	55
82	255	52
83	257	49
84	258	45
85	260	42
86	262	39
87	264	36
88	265	32
89	266	29
90	267	26
91	268	23
92	270	20
93	273	17
94	274	14
95	277	11
96	278	8
97	279	5
98	281	2
99	283	0
