iter	Passed	Remaining
0	160	160152
1	161	80647
2	162	54147
3	164	40877
4	165	32870
5	166	27627
6	169	24082
7	172	21406
8	177	19503
9	179	17752
10	184	16615
11	187	15399
12	188	14287
13	189	13350
14	190	12533
15	192	11828
16	193	11174
17	194	10588
18	200	10364
19	201	9896
20	203	9466
21	203	9066
22	204	8698
23	205	8360
24	206	8051
25	207	7763
26	208	7498
27	208	7250
28	214	7169
29	215	6973
30	216	6771
31	217	6578
32	218	6396
33	219	6225
34	219	6064
35	220	5912
36	221	5768
37	222	5636
38	223	5507
39	228	5482
40	229	5369
41	230	5264
42	231	5157
43	232	5054
44	233	4954
45	234	4858
46	235	4766
47	235	4679
48	236	4595
49	241	4582
50	242	4512
51	243	4444
52	244	4377
53	245	4308
54	247	4250
55	248	4186
56	249	4123
57	250	4060
58	251	4005
59	251	3946
60	253	3908
61	256	3880
62	257	3830
63	258	3783
64	259	3736
65	261	3693
66	262	3654
67	263	3616
68	264	3573
69	265	3529
70	266	3486
71	268	3466
72	271	3444
73	272	3406
74	273	3371
75	274	3336
76	275	3307
77	276	3271
78	277	3237
79	278	3203
80	279	3169
81	280	3136
82	280	3100
83	281	3068
84	287	3092
85	288	3069
86	289	3040
87	290	3011
88	291	2983
89	292	2961
90	293	2933
91	294	2908
92	295	2885
93	298	2879
94	301	2869
95	302	2851
96	303	2828
97	304	2805
98	305	2782
99	306	2760
100	307	2738
101	308	2715
102	309	2693
103	310	2672
104	311	2654
105	318	2682
106	321	2680
107	324	2677
108	325	2664
109	334	2704
110	337	2704
111	338	2686
112	339	2667
113	340	2649
114	345	2655
115	347	2648
116	349	2641
117	351	2626
118	352	2609
119	353	2593
120	354	2577
121	355	2560
122	359	2565
123	361	2552
124	364	2553
125	366	2542
126	367	2527
127	369	2513
128	370	2503
129	371	2487
130	375	2488
131	380	2498
132	381	2486
133	383	2475
134	385	2473
135	387	2459
136	393	2477
137	395	2469
138	396	2457
139	398	2448
140	400	2437
141	400	2422
142	402	2409
143	405	2408
144	410	2420
145	413	2419
146	414	2406
147	415	2393
148	416	2380
149	418	2368
150	422	2378
151	424	2369
152	427	2364
153	428	2353
154	429	2342
155	431	2331
156	432	2321
157	433	2309
158	438	2319
159	440	2310
160	441	2298
161	442	2289
162	444	2281
163	445	2272
164	447	2264
165	448	2255
166	451	2253
167	453	2246
168	454	2235
169	455	2225
170	457	2216
171	458	2207
172	459	2198
173	461	2188
174	468	2207
175	469	2197
176	470	2187
177	472	2181
178	476	2186
179	485	2211
180	487	2203
